Country,City,Lat,Lon,West,South,East,North
Germany,Stuttgart,48.78232,9.17702,8.663249621817362,48.73735391970406,9.690790378182639,48.827286080295934
Germany,Nuremberg,49.45421,11.07752,11.012217021179767,49.40924391970407,11.142822978820233,49.49917608029594
Germany,Bonn,50.73438,7.09549,7.045083384156954,50.689413919704066,7.1458966158430455,50.77934608029594
Germany,Leipzig,46.30452,29.01519,29.081056817972748,46.25955391970406,28.949323182027253,46.34948608029593
Germany,Berlin,52.52437,13.41053,13.48133560180004,52.47940391970406,13.339724398199959,52.56933608029593
Germany,Hanover,52.37052,9.73322,9.821529363973266,52.32555391970406,9.644910636026733,52.415486080295935
Germany,Bremen,53.07582,8.80717,8.854721206964257,53.030853919704064,8.759618793035742,53.120786080295936
USA,New_York,40.71427,-74.00597,-73.96064210341046,40.66930391970406,-74.05129789658955,40.759236080295935
USA,Washington,38.89511,-77.03637,-77.15919971178194,38.85014391970407,-76.91354028821807,38.94007608029594
USA,Austin,30.26715,-97.74306,-97.8528394325728,30.222183919704065,-97.6332805674272,30.312116080295937
USA,Phoenix,32.47098,-85.00077,-85.09194557274046,32.42601391970406,-84.90959442725955,32.51594608029593
USA,Santa_Fe,35.68698,-105.9378,-105.83252935858465,35.64201391970406,-106.04307064141534,35.731946080295934
China,Beijing,39.9075,116.39723,116.4727699648743,39.86253391970406,116.32169003512568,39.952466080295935
China,Tianjin,39.14222,117.17667,116.82355582341485,39.097253919704066,117.52978417658515,39.18718608029594
China,Qingdao,36.06488,120.38042,121.08974270805557,36.01991391970407,119.67109729194443,36.10984608029594
Spain,Barcelona,41.38879,2.15899,2.2116728761170203,41.343823919704064,2.10630712388298,41.433756080295936
Spain,Bilbao,43.26271,-2.92528,-2.985069126609006,43.21774391970406,-2.8654908733909936,43.307676080295934
Spain,Vigo,42.23282,-8.72264,-8.469640016851603,42.18785391970406,-8.975639983148398,42.27778608029593
Argentina,Cordoba,-31.4135,-64.18105,-64.22601621267812,-31.458466080295935,-64.13608378732188,-31.368533919704063
Belgium,Brussels,50.85045,4.34878,4.294846376594845,50.805483919704066,4.4027136234051545,50.89541608029594
Belgium,Antwerp,51.22047,4.40026,4.3224126889191385,51.17550391970406,4.478107311080862,51.265436080295935
Belgium,Leuven,50.87959,4.70093,4.645911354787187,50.834623919704065,4.755948645212812,50.924556080295936
France,Dijon,47.31667,5.01667,5.062484781912453,47.271703919704066,4.970855218087547,47.36163608029594
France,Nancy,48.67333,6.15283,8.25852504776334,48.628363919704064,4.047134952236659,48.718296080295936
